FY ,Project Name,Project Address,Project City,Project Zip,Project County,Units,ProjectType
2015,Windsor Valley I and II,570 Meadowood Street,Edgewood,21040,Harford,291,Rehab
2015,Fairbrooke Senior Apartments,700 Bel Air Avenue,Aberdeen,21001,Harford,122,Rehab
2015,Park View at Ellicott City I,8720 Ridge Road,Ellicott City,21041,Howard,81,Rehab
2015,Marlborough Revitalization 2013,1701 Eutaw Place,Baltimore,21217,Baltimore City,227,Rehab
2015,Taney Village Apartments,1421 Taney Avenue,Frederick,21701,Frederick,130,Rehab
2015,Prospect Place,,Rosedale,21237,Baltimore,12,Rehab
2015,Riverwoods at Tollgate,404 Arundel Court,Abingdon,21009,Harford,84,New
2015,Obery Court/College Creek Phase III,Bates Street & Obrey Court,Annapolis,21401,Anne Arundel,61,New
2015,Cannery Village,Cannery Way at Flower Street,Berlin,21811,Worcester,44,New
2015,The Crossing at Olde Towne,200 Olde Towne Avenue,Gaithersburg,20877,Montgomery,199,New
2015,Conifer Village at Oakcrest,2011 Brooks Drive,Capitol Heights,20743,Prince George's,120,New
2015,Bon Secours Gibbons Apartments,900 Desoto Road,Baltimore,21229,Baltimore,80,New
2015,Mulberry at Park,211 W. Mulberry Street,Baltimore,21201,Baltimore City,68,New
2015,Cottages at River House Phase IV,1013-1016 Riverhouse Drive,Salisbury,21801,Wicomico,36,New
2015,Windsor Gardens,1101 Key Parkway,Frederick,21702,Frederick,59,Rehab
2015,Berger Square,1474-1484 Berger Street,Odenton,21113,Anne Arundel,48,New
2015,Victoria Estates,"1018 Lynnhaven Drive & 10218 Old Ocean City Blvd, Berlin",Pocomoke City,21851,Worcester,100,New
2015,Lakeview House Apartments,10250 Westlake Drive,Bethesda,20817,Montgomery,152,Rehab
2015,The Meadows,607 P Street,Mt. Lake Park,21550,Garrett,90,New
2016,Reserve at Somerset Commons,30520 Hickory Road,Princess Anne,21853,Somerset,75,New
2016,The Commons of Avalon,1339 Hampshire Drive,Frederick,21701,Frederick,103,New
2016,Madera Apartments,3503 Woodland Avenue,Baltimore,21215,Baltimore City,47,Rehab
2016,Cumberland Arms,10 N. Liberty Street,Cumberland,21501,Allegany,69,Rehab
2016,Basilica Place Apartments,124 W. Franklin Street,Baltimore,21201,Baltimore City,200,Rehab
2016,Patuxent Woods Townhomes,46021 Radford Lane,Lexington Park,20653,St. Mary's,32,Rehab
2011,La Plata Manor,1 Hickory Lane,La Plata,20646,Charles,100,Rehab
2011,Elkton Senior Housing,141-149 E. High Street,Elkton,21921,Cecil,60,New
2011,Park View at Columbia,7070  Cradlerock Way,Columbia,21045,Howard,104,Rehab
2011,Indian Bridge Apartments (2),45910 Indian Way,Lexington Park,20653,St. Mary's,112,Rehab
2011,St. Stephen's Court Apartments,2401 St. Stephen's Court,Baltimore,21216,Baltimore City,72,Rehab
2011,Silverwood Farm,100 Runningbrook Way,Prince Frederick,20678,Calvert,180,Rehab
2011,Argent Condominum Apartments,1200 Blair Mill Road,Silver Spring,20910,Montgomery,96,Rehab
2016,Federalsburg Square,101 Routzhan Lane,Federalsburg,21632,Caroline,88,Rehab
2016,Woodland Springs,6617 Atwood Street,District Heights,20747,Prince George's,503,Rehab
2016,City Arts II,1700 Greenmount Avenue,Baltimore,21202,Baltimore City,60,New
2016,Riverwatch,5673 Furnace Avenue,Elkridge,21075,Howard,84,New
2016,The Lodges at Naylor Mill 2,29339 Naylor Mill Road,Salisbury,21802,Wicomico,45,New
2016,Allendale Apartments,3600 Franklin Street,Baltimore,21229,Baltimore City,164,Rehab
2016,CHAI-Fallstaff Apartments,3800-3810 Fallstaff Road,Baltimore,21215,Baltimore City,16,Rehab
2016,BE MASON,4900 Windsor Mill Road,Baltimore,21207,Baltimore City,225,Rehab
