"time","temperature_2m","year"
1950-07-01,81.3,1950
1950-07-01 01:00:00,84.3,1950
1950-07-01 02:00:00,86.8,1950
1950-07-01 03:00:00,90.8,1950
1950-07-01 04:00:00,92.4,1950
1950-07-01 05:00:00,93.6,1950
1950-07-01 06:00:00,94.4,1950
1950-07-01 07:00:00,93.9,1950
1950-07-01 08:00:00,93.2,1950
1950-07-01 09:00:00,92.3,1950
1950-07-01 10:00:00,90.6,1950
1950-07-01 11:00:00,88.7,1950
1950-07-01 12:00:00,86.7,1950
1950-07-01 13:00:00,84.5,1950
1950-07-01 14:00:00,83.4,1950
1950-07-01 15:00:00,82.3,1950
1950-07-01 16:00:00,80.7,1950
1950-07-01 17:00:00,78.8,1950
1950-07-01 18:00:00,76.7,1950
1950-07-01 19:00:00,74.9,1950
1950-07-01 20:00:00,73.5,1950
1950-07-01 21:00:00,73.2,1950
1950-07-01 22:00:00,75.2,1950
1950-07-01 23:00:00,78.3,1950
1950-07-02,81.5,1950
1950-07-02 01:00:00,83.8,1950
1950-07-02 02:00:00,86,1950
1950-07-02 03:00:00,88.4,1950
1950-07-02 04:00:00,90.3,1950
1950-07-02 05:00:00,91.9,1950
1950-07-02 06:00:00,92.9,1950
1950-07-02 07:00:00,93.4,1950
1950-07-02 08:00:00,93.4,1950
1950-07-02 09:00:00,93,1950
1950-07-02 10:00:00,92.4,1950
1950-07-02 11:00:00,91.7,1950
1950-07-02 12:00:00,90.6,1950
1950-07-02 13:00:00,88.2,1950
1950-07-02 14:00:00,86.3,1950
1950-07-02 15:00:00,85.4,1950
1950-07-02 16:00:00,83.4,1950
1950-07-02 17:00:00,81.5,1950
1950-07-02 18:00:00,80.3,1950
1950-07-02 19:00:00,78.5,1950
1950-07-02 20:00:00,77.4,1950
1950-07-02 21:00:00,78.3,1950
1950-07-02 22:00:00,82.5,1950
1950-07-02 23:00:00,85.8,1950
1950-07-03,88.6,1950
1950-07-03 01:00:00,91.5,1950
1950-07-03 02:00:00,94.1,1950
1950-07-03 03:00:00,97.1,1950
1950-07-03 04:00:00,98.7,1950
1950-07-03 05:00:00,100.2,1950
1950-07-03 06:00:00,100.9,1950
1950-07-03 07:00:00,101.2,1950
1950-07-03 08:00:00,101,1950
1950-07-03 09:00:00,100.3,1950
1950-07-03 10:00:00,99.3,1950
1950-07-03 11:00:00,97.9,1950
1950-07-03 12:00:00,95.5,1950
1950-07-03 13:00:00,92.5,1950
1950-07-03 14:00:00,90.1,1950
1950-07-03 15:00:00,88.7,1950
1950-07-03 16:00:00,87.3,1950
1950-07-03 17:00:00,86.4,1950
1950-07-03 18:00:00,85.4,1950
1950-07-03 19:00:00,83.9,1950
1950-07-03 20:00:00,82.7,1950
1950-07-03 21:00:00,83,1950
1950-07-03 22:00:00,84.3,1950
1950-07-03 23:00:00,86.3,1950
1950-07-04,88.1,1950
1950-07-04 01:00:00,90.4,1950
1950-07-04 02:00:00,92.4,1950
1950-07-04 03:00:00,93.2,1950
1950-07-04 04:00:00,93.7,1950
1950-07-04 05:00:00,94.9,1950
1950-07-04 06:00:00,94.5,1950
1950-07-04 07:00:00,93.8,1950
1950-07-04 08:00:00,93.6,1950
1950-07-04 09:00:00,93.3,1950
1950-07-04 10:00:00,90.5,1950
1950-07-04 11:00:00,86.7,1950
1950-07-04 12:00:00,85.4,1950
1950-07-04 13:00:00,83.9,1950
1950-07-04 14:00:00,82.5,1950
1950-07-04 15:00:00,80.4,1950
1950-07-04 16:00:00,79.6,1950
1950-07-04 17:00:00,78.3,1950
1950-07-04 18:00:00,77.6,1950
1950-07-04 19:00:00,77.8,1950
1950-07-04 20:00:00,77.2,1950
1950-07-04 21:00:00,76.3,1950
1950-07-04 22:00:00,77.1,1950
1950-07-04 23:00:00,80,1950
1950-07-05,82.5,1950
1950-07-05 01:00:00,85.6,1950
1950-07-05 02:00:00,88.3,1950
1950-07-05 03:00:00,92.7,1950
1950-07-05 04:00:00,94.4,1950
1950-07-05 05:00:00,95.8,1950
1950-07-05 06:00:00,96.6,1950
1950-07-05 07:00:00,96.9,1950
1950-07-05 08:00:00,96.9,1950
1950-07-05 09:00:00,96.3,1950
1950-07-05 10:00:00,95.2,1950
1950-07-05 11:00:00,93,1950
1950-07-05 12:00:00,89.7,1950
1950-07-05 13:00:00,87,1950
1950-07-05 14:00:00,84.8,1950
1950-07-05 15:00:00,83,1950
1950-07-05 16:00:00,81.1,1950
1950-07-05 17:00:00,79.2,1950
1950-07-05 18:00:00,77.1,1950
1950-07-05 19:00:00,76,1950
1950-07-05 20:00:00,73.5,1950
1950-07-05 21:00:00,74.7,1950
1950-07-05 22:00:00,79.8,1950
1950-07-05 23:00:00,84.1,1950
1950-07-06,87.3,1950
1950-07-06 01:00:00,90.3,1950
1950-07-06 02:00:00,92.9,1950
1950-07-06 03:00:00,95.1,1950
1950-07-06 04:00:00,96.3,1950
1950-07-06 05:00:00,97.3,1950
1950-07-06 06:00:00,97.8,1950
1950-07-06 07:00:00,97.9,1950
1950-07-06 08:00:00,96.1,1950
1950-07-06 09:00:00,94.3,1950
1950-07-06 10:00:00,93.2,1950
1950-07-06 11:00:00,92.4,1950
1950-07-06 12:00:00,90.7,1950
1950-07-06 13:00:00,88.5,1950
1950-07-06 14:00:00,86.9,1950
1950-07-06 15:00:00,88.4,1950
1950-07-06 16:00:00,86.7,1950
1950-07-06 17:00:00,84.6,1950
1950-07-06 18:00:00,82.7,1950
1950-07-06 19:00:00,80.1,1950
1950-07-06 20:00:00,78,1950
1950-07-06 21:00:00,79.1,1950
1950-07-06 22:00:00,82.7,1950
1950-07-06 23:00:00,86.1,1950
1950-07-07,89,1950
1950-07-07 01:00:00,91.5,1950
1950-07-07 02:00:00,93.6,1950
1950-07-07 03:00:00,96.4,1950
1950-07-07 04:00:00,98,1950
1950-07-07 05:00:00,99.3,1950
1950-07-07 06:00:00,100.2,1950
1950-07-07 07:00:00,100.6,1950
