"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"01","Alabama","01001","Autauga","2019","25.3%","","(24.0% - 26.6%)","24.0%","26.6%",
"01","Alabama","01001","Autauga","2020","24.9%","","(23.6% - 26.4%)","23.6%","26.4%",
"01","Alabama","01001","Autauga","2021","22.7%","","(19.0% - 27.1%)","19.0%","27.1%",
"01","Alabama","01003","Baldwin","2019","24.9%","","(23.5% - 26.2%)","23.5%","26.2%",
"01","Alabama","01003","Baldwin","2020","25.7%","","(24.3% - 27.1%)","24.3%","27.1%",
"01","Alabama","01003","Baldwin","2021","23.2%","","(19.8% - 26.9%)","19.8%","26.9%",
"01","Alabama","01005","Barbour","2019","24.7%","","(23.6% - 25.8%)","23.6%","25.8%",
"01","Alabama","01005","Barbour","2020","24.2%","","(23.1% - 25.3%)","23.1%","25.3%",
"01","Alabama","01005","Barbour","2021","22.6%","","(18.6% - 27.0%)","18.6%","27.0%",
"01","Alabama","01007","Bibb","2019","26.2%","","(24.9% - 27.3%)","24.9%","27.3%",
"01","Alabama","01007","Bibb","2020","25.1%","","(23.9% - 26.4%)","23.9%","26.4%",
"01","Alabama","01007","Bibb","2021","23.3%","","(19.4% - 27.6%)","19.4%","27.6%",
"01","Alabama","01009","Blount","2019","25.0%","","(23.6% - 26.3%)","23.6%","26.3%",
"01","Alabama","01009","Blount","2020","27.5%","","(26.0% - 29.0%)","26.0%","29.0%",
"01","Alabama","01009","Blount","2021","24.2%","","(20.3% - 28.6%)","20.3%","28.6%",
"01","Alabama","01011","Bullock","2019","21.1%","","(20.1% - 22.2%)","20.1%","22.2%",
"01","Alabama","01011","Bullock","2020","22.4%","","(21.3% - 23.6%)","21.3%","23.6%",
"01","Alabama","01011","Bullock","2021","20.2%","","(16.3% - 24.2%)","16.3%","24.2%",
"01","Alabama","01013","Butler","2019","23.3%","","(22.2% - 24.4%)","22.2%","24.4%",
"01","Alabama","01013","Butler","2020","24.9%","","(23.9% - 26.0%)","23.9%","26.0%",
"01","Alabama","01013","Butler","2021","21.4%","","(17.6% - 25.5%)","17.6%","25.5%",
"01","Alabama","01015","Calhoun","2019","27.2%","","(26.0% - 28.4%)","26.0%","28.4%",
"01","Alabama","01015","Calhoun","2020","27.0%","","(25.7% - 28.3%)","25.7%","28.3%",
"01","Alabama","01015","Calhoun","2021","23.3%","","(19.4% - 27.5%)","19.4%","27.5%",
"01","Alabama","01017","Chambers","2019","25.3%","","(24.2% - 26.4%)","24.2%","26.4%",
"01","Alabama","01017","Chambers","2020","24.9%","","(23.8% - 26.1%)","23.8%","26.1%",
"01","Alabama","01017","Chambers","2021","22.8%","","(18.7% - 27.0%)","18.7%","27.0%",
"01","Alabama","01019","Cherokee","2019","27.4%","","(26.0% - 29.0%)","26.0%","29.0%",
"01","Alabama","01019","Cherokee","2020","27.5%","","(26.0% - 28.9%)","26.0%","28.9%",
"01","Alabama","01019","Cherokee","2021","26.5%","","(22.1% - 31.3%)","22.1%","31.3%",
"01","Alabama","01021","Chilton","2019","26.6%","","(25.4% - 27.9%)","25.4%","27.9%",
"01","Alabama","01021","Chilton","2020","27.6%","","(26.3% - 29.1%)","26.3%","29.1%",
"01","Alabama","01021","Chilton","2021","24.3%","","(20.2% - 28.7%)","20.2%","28.7%",
"01","Alabama","01023","Choctaw","2019","25.4%","","(24.3% - 26.6%)","24.3%","26.6%",
"01","Alabama","01023","Choctaw","2020","25.3%","","(24.1% - 26.5%)","24.1%","26.5%",
"01","Alabama","01023","Choctaw","2021","23.3%","","(18.9% - 27.5%)","18.9%","27.5%",
"01","Alabama","01025","Clarke","2019","25.6%","","(24.5% - 26.8%)","24.5%","26.8%",
"01","Alabama","01025","Clarke","2020","24.7%","","(23.6% - 25.8%)","23.6%","25.8%",
"01","Alabama","01025","Clarke","2021","22.1%","","(18.2% - 26.3%)","18.2%","26.3%",
"01","Alabama","01027","Clay","2019","27.4%","","(26.0% - 28.8%)","26.0%","28.8%",
"01","Alabama","01027","Clay","2020","27.4%","","(25.9% - 29.0%)","25.9%","29.0%",
"01","Alabama","01027","Clay","2021","25.8%","","(21.3% - 30.7%)","21.3%","30.7%",
"01","Alabama","01029","Cleburne","2019","27.4%","","(25.8% - 29.1%)","25.8%","29.1%",
"01","Alabama","01029","Cleburne","2020","27.9%","","(26.3% - 29.6%)","26.3%","29.6%",
"01","Alabama","01029","Cleburne","2021","26.0%","","(21.5% - 30.9%)","21.5%","30.9%",
"01","Alabama","01031","Coffee","2019","25.5%","","(24.3% - 26.7%)","24.3%","26.7%",
"01","Alabama","01031","Coffee","2020","26.7%","","(25.5% - 28.0%)","25.5%","28.0%",
"01","Alabama","01031","Coffee","2021","24.1%","","(20.1% - 28.1%)","20.1%","28.1%",
"01","Alabama","01033","Colbert","2019","26.2%","","(25.0% - 27.5%)","25.0%","27.5%",
"01","Alabama","01033","Colbert","2020","25.7%","","(24.5% - 27.2%)","24.5%","27.2%",
"01","Alabama","01033","Colbert","2021","24.2%","","(20.0% - 29.0%)","20.0%","29.0%",
"01","Alabama","01035","Conecuh","2019","23.8%","","(22.8% - 24.9%)","22.8%","24.9%",
"01","Alabama","01035","Conecuh","2020","25.1%","","(23.9% - 26.3%)","23.9%","26.3%",
"01","Alabama","01035","Conecuh","2021","23.1%","","(19.0% - 27.5%)","19.0%","27.5%",
"01","Alabama","01037","Coosa","2019","24.3%","","(23.2% - 25.5%)","23.2%","25.5%",
"01","Alabama","01037","Coosa","2020","25.2%","","(24.0% - 26.3%)","24.0%","26.3%",
"01","Alabama","01037","Coosa","2021","22.8%","","(18.9% - 27.1%)","18.9%","27.1%",
"01","Alabama","01039","Covington","2019","27.9%","","(26.5% - 29.4%)","26.5%","29.4%",
"01","Alabama","01039","Covington","2020","26.8%","","(25.5% - 28.3%)","25.5%","28.3%",
"01","Alabama","01039","Covington","2021","24.4%","","(20.2% - 28.9%)","20.2%","28.9%",
"01","Alabama","01041","Crenshaw","2019","25.7%","","(24.5% - 27.1%)","24.5%","27.1%",
"01","Alabama","01041","Crenshaw","2020","25.9%","","(24.6% - 27.3%)","24.6%","27.3%",
"01","Alabama","01041","Crenshaw","2021","23.3%","","(19.3% - 27.6%)","19.3%","27.6%",
"01","Alabama","01043","Cullman","2019","27.3%","","(25.7% - 28.8%)","25.7%","28.8%",
"01","Alabama","01043","Cullman","2020","26.7%","","(25.1% - 28.3%)","25.1%","28.3%",
"01","Alabama","01043","Cullman","2021","25.2%","","(20.9% - 29.8%)","20.9%","29.8%",
"01","Alabama","01045","Dale","2019","24.7%","","(23.6% - 25.8%)","23.6%","25.8%",
"01","Alabama","01045","Dale","2020","25.5%","","(24.3% - 26.9%)","24.3%","26.9%",
"01","Alabama","01045","Dale","2021","23.4%","","(19.5% - 27.8%)","19.5%","27.8%",
"01","Alabama","01047","Dallas","2019","22.6%","","(21.4% - 23.7%)","21.4%","23.7%",
"01","Alabama","01047","Dallas","2020","23.8%","","(22.6% - 25.1%)","22.6%","25.1%",
"01","Alabama","01047","Dallas","2021","21.1%","","(17.3% - 25.3%)","17.3%","25.3%",
"01","Alabama","01049","DeKalb","2019","27.1%","","(25.8% - 28.4%)","25.8%","28.4%",
"01","Alabama","01049","DeKalb","2020","27.7%","","(26.2% - 29.2%)","26.2%","29.2%",
"01","Alabama","01049","DeKalb","2021","25.8%","","(21.6% - 30.4%)","21.6%","30.4%",
"01","Alabama","01051","Elmore","2019","25.3%","","(24.0% - 26.7%)","24.0%","26.7%",
"01","Alabama","01051","Elmore","2020","26.2%","","(25.0% - 27.6%)","25.0%","27.6%",
"01","Alabama","01051","Elmore","2021","23.0%","","(19.1% - 27.2%)","19.1%","27.2%",
"01","Alabama","01053","Escambia","2019","24.8%","","(23.7% - 25.9%)","23.7%","25.9%",
"01","Alabama","01053","Escambia","2020","25.4%","","(24.3% - 26.5%)","24.3%","26.5%",
"01","Alabama","01053","Escambia","2021","23.3%","","(19.3% - 27.5%)","19.3%","27.5%",
"01","Alabama","01055","Etowah","2019","27.5%","","(26.2% - 28.7%)","26.2%","28.7%",
"01","Alabama","01055","Etowah","2020","27.5%","","(26.2% - 28.9%)","26.2%","28.9%",
"01","Alabama","01055","Etowah","2021","25.0%","","(21.1% - 29.3%)","21.1%","29.3%",
"01","Alabama","01057","Fayette","2019","27.6%","","(26.2% - 29.0%)","26.2%","29.0%",
"01","Alabama","01057","Fayette","2020","29.1%","","(27.7% - 30.6%)","27.7%","30.6%",
"01","Alabama","01057","Fayette","2021","25.3%","","(21.0% - 29.9%)","21.0%","29.9%",
"01","Alabama","01059","Franklin","2019","26.2%","","(24.9% - 27.4%)","24.9%","27.4%",
"01","Alabama","01059","Franklin","2020","27.0%","","(25.6% - 28.4%)","25.6%","28.4%",
"01","Alabama","01059","Franklin","2021","24.7%","","(20.5% - 29.3%)","20.5%","29.3%",
"01","Alabama","01061","Geneva","2019","27.1%","","(25.7% - 28.6%)","25.7%","28.6%",
"01","Alabama","01061","Geneva","2020","28.8%","","(27.4% - 30.5%)","27.4%","30.5%",
"01","Alabama","01061","Geneva","2021","25.8%","","(21.3% - 30.4%)","21.3%","30.4%",
"01","Alabama","01063","Greene","2019","22.6%","","(21.5% - 23.8%)","21.5%","23.8%",
"01","Alabama","01063","Greene","2020","23.3%","","(22.0% - 24.6%)","22.0%","24.6%",
"01","Alabama","01063","Greene","2021","20.5%","","(16.9% - 24.6%)","16.9%","24.6%",
"01","Alabama","01065","Hale","2019","23.2%","","(22.1% - 24.2%)","22.1%","24.2%",
"01","Alabama","01065","Hale","2020","24.6%","","(23.3% - 25.9%)","23.3%","25.9%",
"01","Alabama","01065","Hale","2021","22.4%","","(18.3% - 26.6%)","18.3%","26.6%",
"01","Alabama","01067","Henry","2019","25.0%","","(23.7% - 26.2%)","23.7%","26.2%",
"01","Alabama","01067","Henry","2020","25.7%","","(24.3% - 26.9%)","24.3%","26.9%",
"01","Alabama","01067","Henry","2021","23.1%","","(18.9% - 27.5%)","18.9%","27.5%",
"01","Alabama","01069","Houston","2019","25.8%","","(24.7% - 27.0%)","24.7%","27.0%",
"01","Alabama","01069","Houston","2020","26.7%","","(25.5% - 27.9%)","25.5%","27.9%",
"01","Alabama","01069","Houston","2021","24.8%","","(21.0% - 29.1%)","21.0%","29.1%",
"01","Alabama","01071","Jackson","2019","27.9%","","(26.4% - 29.4%)","26.4%","29.4%",
"01","Alabama","01071","Jackson","2020","28.8%","","(27.2% - 30.4%)","27.2%","30.4%",
"01","Alabama","01071","Jackson","2021","25.1%","","(20.8% - 29.9%)","20.8%","29.9%",
"01","Alabama","01073","Jefferson","2019","21.7%","","(20.7% - 22.7%)","20.7%","22.7%",
"01","Alabama","01073","Jefferson","2020","22.6%","","(21.7% - 23.6%)","21.7%","23.6%",
"01","Alabama","01073","Jefferson","2021","21.9%","","(19.0% - 25.1%)","19.0%","25.1%",
"01","Alabama","01075","Lamar","2019","27.3%","","(25.9% - 28.7%)","25.9%","28.7%",
"01","Alabama","01075","Lamar","2020","27.7%","","(26.3% - 29.2%)","26.3%","29.2%",
"01","Alabama","01075","Lamar","2021","25.1%","","(20.6% - 29.9%)","20.6%","29.9%",
"01","Alabama","01077","Lauderdale","2019","25.3%","","(24.0% - 26.7%)","24.0%","26.7%",
"01","Alabama","01077","Lauderdale","2020","26.3%","","(24.8% - 27.7%)","24.8%","27.7%",
"01","Alabama","01077","Lauderdale","2021","24.7%","","(20.5% - 29.3%)","20.5%","29.3%",
"01","Alabama","01079","Lawrence","2019","27.6%","","(26.2% - 29.1%)","26.2%","29.1%",
"01","Alabama","01079","Lawrence","2020","27.9%","","(26.5% - 29.3%)","26.5%","29.3%",
"01","Alabama","01079","Lawrence","2021","24.6%","","(20.4% - 29.3%)","20.4%","29.3%",
"01","Alabama","01081","Lee","2019","24.2%","","(22.9% - 25.4%)","22.9%","25.4%",
"01","Alabama","01081","Lee","2020","24.9%","","(23.7% - 26.1%)","23.7%","26.1%",
"01","Alabama","01081","Lee","2021","21.5%","","(18.0% - 24.9%)","18.0%","24.9%",
"01","Alabama","01083","Limestone","2019","24.1%","","(22.8% - 25.4%)","22.8%","25.4%",
"01","Alabama","01083","Limestone","2020","25.3%","","(24.0% - 26.7%)","24.0%","26.7%",
"01","Alabama","01083","Limestone","2021","22.6%","","(18.7% - 26.8%)","18.7%","26.8%",
"01","Alabama","01085","Lowndes","2019","23.0%","","(21.7% - 24.3%)","21.7%","24.3%",
"01","Alabama","01085","Lowndes","2020","23.9%","","(22.7% - 25.2%)","22.7%","25.2%",
"01","Alabama","01085","Lowndes","2021","20.0%","","(16.1% - 24.0%)","16.1%","24.0%",
"01","Alabama","01087","Macon","2019","22.1%","","(20.8% - 23.4%)","20.8%","23.4%",
"01","Alabama","01087","Macon","2020","22.9%","","(21.7% - 24.4%)","21.7%","24.4%",
"01","Alabama","01087","Macon","2021","20.3%","","(16.6% - 24.5%)","16.6%","24.5%",
"01","Alabama","01089","Madison","2019","22.9%","","(21.8% - 24.0%)","21.8%","24.0%",
"01","Alabama","01089","Madison","2020","23.4%","","(22.2% - 24.6%)","22.2%","24.6%",
"01","Alabama","01089","Madison","2021","21.9%","","(18.5% - 25.4%)","18.5%","25.4%",
"01","Alabama","01091","Marengo","2019","23.4%","","(22.4% - 24.4%)","22.4%","24.4%",
"01","Alabama","01091","Marengo","2020","24.7%","","(23.7% - 25.8%)","23.7%","25.8%",
"01","Alabama","01091","Marengo","2021","21.3%","","(17.5% - 25.5%)","17.5%","25.5%",
"01","Alabama","01093","Marion","2019","28.1%","","(26.6% - 29.7%)","26.6%","29.7%",
"01","Alabama","01093","Marion","2020","28.1%","","(26.4% - 29.8%)","26.4%","29.8%",
"01","Alabama","01093","Marion","2021","25.8%","","(21.0% - 30.7%)","21.0%","30.7%",
"01","Alabama","01095","Marshall","2019","27.6%","","(26.1% - 29.0%)","26.1%","29.0%",
"01","Alabama","01095","Marshall","2020","26.8%","","(25.4% - 28.3%)","25.4%","28.3%",
"01","Alabama","01095","Marshall","2021","24.6%","","(20.5% - 29.1%)","20.5%","29.1%",
"01","Alabama","01097","Mobile","2019","23.9%","","(22.9% - 25.0%)","22.9%","25.0%",
"01","Alabama","01097","Mobile","2020","23.8%","","(22.7% - 24.9%)","22.7%","24.9%",
"01","Alabama","01097","Mobile","2021","22.6%","","(19.6% - 25.9%)","19.6%","25.9%",
